# x [Mpc/h]	y [Mpc/h]	z [Mpc/h]	Mh [Msun]
 26.0970	 26.0842	 37.4388	3.6705e+14
 25.6132	 61.5881	 58.5318	1.5316e+14
 49.5755	 22.8331	 55.1097	1.4500e+14
 18.2033	 50.6426	 62.0063	1.4035e+14
 42.6918	 40.4319	 20.8740	1.1547e+14
 45.7312	 36.0870	 20.9503	1.1406e+14
 15.8813	 23.2090	 26.3095	1.2679e+14
 28.0888	  3.0429	 58.6375	7.7093e+13
  1.4443	 61.1134	  6.1051	7.1966e+13
 54.6804	  1.4042	 14.6361	5.3980e+13
 30.7632	 39.1558	 14.0891	5.4111e+13
 37.9670	 21.6678	 38.5711	6.1752e+13
 50.3570	  7.4799	 11.9810	5.6872e+13
 49.4172	 12.3291	  6.9467	4.8200e+13
 41.5705	 52.4822	 13.2889	5.6103e+13
 17.6527	 25.5063	 19.4107	4.6026e+13
 35.8654	 40.5652	 16.0393	3.8729e+13
 63.6409	 25.5793	  0.3594	3.8399e+13
 51.8457	 17.0985	  7.0857	3.6692e+13
 44.4841	  6.0874	  4.4988	3.2003e+13
 51.9181	  4.2037	 14.3126	1.7870e+13
  5.7738	 55.8818	 50.8406	2.9547e+13
 51.1640	 37.4081	 49.7590	3.1154e+13
 18.4629	 46.6791	 58.4878	3.4967e+13
 15.3328	 35.3135	 43.8671	3.0398e+13
 32.8692	 55.5667	  3.7924	3.3939e+13
 41.2466	 32.1563	 33.6314	2.6622e+13
 40.3444	 22.6907	 40.9284	2.9794e+13
 38.5565	 25.6721	 33.6711	2.0428e+13
 14.9557	 10.2516	  0.1394	1.2307e+13
 44.1777	 26.8818	 24.4077	2.1638e+13
 25.5749	 35.3965	 16.7118	2.3970e+13
 14.9147	 30.5459	 20.2624	2.2690e+13
 44.5269	 12.3102	  2.9261	2.8314e+13
 46.7948	 25.8197	 13.5407	3.0277e+13
 60.6529	 14.0944	 63.7821	2.6031e+13
 46.5364	 44.6236	 34.9090	2.2659e+13
 27.0987	 51.8254	  3.0903	2.6287e+13
  3.1581	  7.6351	  6.5686	2.3118e+13
 38.6844	 41.2720	 16.3904	2.7023e+13
 42.1479	 11.6608	  1.6335	1.6189e+13
 55.4329	 53.1683	 22.4198	2.2822e+13
 41.6310	 38.8963	 25.9705	9.1645e+12
 48.2768	  3.4999	 10.4740	2.1967e+13
 46.4719	 53.8122	 22.2888	2.4464e+13
 35.2598	 11.0380	  2.9708	1.5261e+13
 40.9780	 38.2980	 32.5058	2.0761e+13
 51.4454	 14.9077	  8.7656	2.3712e+13
 45.3279	 49.6716	 21.6645	1.6408e+13
 48.9596	 35.1158	 49.2179	1.8071e+13
 46.1527	 12.4802	  3.4998	2.0366e+13
  3.3549	 41.4834	 20.2278	2.1590e+13
 23.0117	 30.5959	 45.6953	1.9856e+13
 17.0911	 10.4890	 63.5170	1.3118e+13
 49.6065	 42.0366	 13.8256	1.9746e+13
 20.8695	  3.3225	 42.5297	1.6497e+13
 45.3069	 52.5424	 13.3645	1.6743e+13
 36.9777	 20.9071	 34.9206	9.7047e+12
 63.5299	 50.2902	  8.7338	1.7258e+13
 61.8629	 53.4314	 13.1288	1.7875e+13
 49.6669	 16.9936	 38.5951	1.2798e+13
 26.5222	 34.5618	 19.6373	1.4955e+13
 19.8530	 34.0609	 15.5089	1.6334e+13
 44.5848	 54.7443	 20.8197	1.4268e+13
 22.9151	 20.4257	 49.7509	1.5968e+13
 18.0936	 23.5345	 28.0881	1.3911e+13
 58.8859	 46.3705	 24.6025	1.5798e+13
 61.5928	 51.5423	 43.8656	1.2053e+13
 59.3087	 34.4253	 19.8552	1.3219e+13
 21.3287	 27.9081	 30.1919	1.4246e+13
 15.5909	 51.1119	  2.4679	1.4106e+13
 45.4798	 12.7625	 22.4747	1.5261e+13
 20.2931	 25.2565	 31.2848	1.0992e+13
 46.2956	 54.2984	 13.5533	1.3101e+13
 16.1306	 10.8624	 57.3323	1.3967e+13
  7.6329	  5.8958	  1.1207	1.4249e+13
 22.8973	 26.5919	 38.7051	1.4650e+13
 39.9613	 50.4999	 12.5203	1.0719e+13
 39.4239	 17.6416	 42.7707	1.4053e+13
 43.7364	 43.4297	 16.7486	6.3656e+12
 22.5748	 35.7359	 47.1904	1.1784e+13
 44.1139	 47.1303	 11.8164	1.2440e+13
 46.3511	 49.0052	 42.4665	1.1399e+13
 35.3869	 63.4516	 43.8283	1.2864e+13
 41.0835	 30.1991	 34.9932	1.2757e+13
 32.5857	 25.0378	 35.2040	1.0582e+13
 40.2984	 19.0542	 32.3259	8.7798e+12
  7.9456	 12.1972	  5.7586	1.2093e+13
 63.1726	 46.0812	 13.4892	1.1366e+13
 61.4268	 23.9285	 13.3704	1.1993e+13
 62.7188	 48.5983	 41.4233	1.2089e+13
 56.4634	 51.4023	 24.4410	1.1169e+13
 27.4206	 39.5813	 44.5164	1.2440e+13
 11.7647	 13.9222	 10.5203	1.1057e+13
 50.7119	 20.6546	 59.7672	1.0151e+13
 23.0986	 59.2234	 56.5585	1.1869e+13
 45.3573	 15.7792	 23.9593	9.6952e+12
 47.7381	 20.7204	 13.9429	1.1662e+13
 52.9726	 17.8003	  3.2327	1.0742e+13
 45.5546	 42.5586	 16.0815	5.9002e+12
 31.8775	 38.0458	 11.8188	9.0688e+12
 59.3182	 23.7488	 63.0636	9.3172e+12
 15.5609	  3.5339	  1.7191	1.0277e+13
  5.3118	  9.3280	  5.5411	9.6398e+12
 25.7429	 24.2735	 39.5576	7.2702e+12
 45.6873	 55.1509	 21.3019	1.0152e+13
 35.7949	 25.1045	 35.0593	1.0666e+13
 15.6238	 35.3794	  2.8824	1.0271e+13
 44.6309	 25.2609	 48.6792	9.0230e+12
 43.4650	 11.9170	  0.6837	6.4442e+12
 50.7235	 47.7565	 12.1328	6.5460e+12
 27.2595	  6.0334	 54.8123	4.5010e+12
 22.2828	 32.0369	 19.3399	9.3439e+12
 51.8433	 25.3933	 54.7885	8.9276e+12
 30.2725	 10.7590	  8.8846	7.7412e+12
 21.4928	 25.8495	 13.0263	7.4248e+12
 61.1906	 10.6556	 33.3123	7.5527e+12
 30.1109	 41.1131	 12.3813	5.6832e+12
 20.5699	 56.4734	 58.4958	8.1546e+12
 28.6225	 37.2053	 15.0763	9.2523e+12
 34.5473	 39.9542	 51.6229	8.4053e+12
  0.8792	  6.7428	 10.6457	5.0995e+12
 40.6380	 20.1451	 32.5109	6.6524e+12
 50.1552	 36.6951	 25.5331	5.3225e+12
 17.4738	 28.4843	 60.2062	9.0806e+12
 47.9674	 42.1314	 14.9326	5.8476e+12
 35.5262	 51.5494	 54.2474	3.7377e+12
  0.8425	 12.0749	 33.3141	8.1993e+12
 48.2008	 12.0969	 20.1870	7.4881e+12
 19.5272	 28.9579	 20.7258	7.3176e+12
 56.3771	 13.4978	 36.0016	8.5997e+12
 23.4051	 31.8893	 46.2331	4.7726e+12
 43.3227	 25.7318	 47.0236	4.7249e+12
 56.6871	 62.9481	 25.9480	7.6132e+12
 53.5738	 31.7104	 20.2132	6.7143e+12
 31.2542	  6.1605	 59.4753	7.7161e+12
 46.1390	 22.5053	 19.4482	7.9124e+12
 28.8775	 19.7278	 37.3490	7.5693e+12
 28.0540	  5.0965	 59.3330	8.4812e+12
 41.6858	 19.7401	 30.5513	8.1367e+12
 62.6964	 35.6736	 33.7552	6.6966e+12
 34.9960	  8.5593	 62.1799	8.2417e+12
 12.4562	 11.1102	  3.9148	6.1090e+12
 47.0634	 17.7419	 39.2245	7.3115e+12
 15.2971	  9.0394	 60.9510	4.2489e+12
 34.3009	 12.3723	 44.4757	7.4751e+12
 60.9536	 59.2114	 15.4553	6.7661e+12
 48.0052	  8.8920	 12.4976	5.9776e+12
  6.9667	  0.1567	 54.1028	7.9358e+12
 41.7083	 46.4543	 57.0823	6.1493e+12
 43.8246	 33.6932	  8.9718	6.6208e+12
 20.1716	 38.7710	 13.5062	7.0179e+12
 38.2136	 15.6999	 30.2698	6.8463e+12
 50.3950	  7.5483	 15.3384	4.4880e+12
 41.9142	 26.2845	 27.8336	4.8679e+12
 44.9847	 34.8884	  8.9275	5.3133e+12
 59.7791	  4.1771	 43.5762	6.9188e+12
 20.4733	 29.6068	 16.5769	6.1975e+12
 57.0747	 24.1425	 60.5398	7.6786e+12
 48.6561	 52.9040	 25.2522	7.1773e+12
 25.8493	 24.1456	 35.9880	6.2166e+12
 11.5057	 38.1813	 16.8416	7.3530e+12
 59.4541	 22.3346	 12.4499	6.8522e+12
 37.1314	 19.9317	 38.5807	6.6983e+12
 32.9545	  6.0541	 31.9981	6.6019e+12
 46.9747	 47.8719	 36.2195	6.2770e+12
  4.1780	 29.5838	 22.8987	7.1474e+12
 34.3328	  3.9720	 51.0678	6.0213e+12
 60.3561	  8.2270	 15.2765	4.6342e+12
  1.9268	 48.7642	  6.1698	6.6688e+12
 15.5757	 48.5325	 63.0021	7.1454e+12
 46.9987	 40.1999	  7.7792	6.1493e+12
 21.0461	 15.5915	 58.5983	6.5807e+12
 23.3508	 28.8957	 43.3746	3.7516e+12
 31.6634	 58.3473	 56.0594	4.7220e+12
 20.8336	 21.5037	 49.2947	5.3635e+12
 39.8286	 59.7072	 30.7816	5.5489e+12
 24.8635	 30.0222	 43.7647	5.7337e+12
 42.3212	 39.7907	 30.6919	4.1166e+12
 63.2784	 56.3627	  9.8450	6.1659e+12
 16.1452	 24.7899	 24.3772	5.5158e+12
 42.6121	 55.0362	 15.4313	5.3323e+12
 49.4722	 44.7425	 27.7969	6.4060e+12
 28.1381	 21.7639	 42.5775	5.4067e+12
 49.0364	  4.6410	 11.4481	5.5286e+12
 43.9643	 35.1692	 28.6698	6.0891e+12
 21.7091	 35.9938	 49.5842	6.3424e+12
 34.8671	 41.0930	 52.0957	5.0670e+12
  2.6321	 13.6777	 28.3997	6.1940e+12
 60.4197	 62.1233	 14.6027	5.8624e+12
 11.7813	 48.7977	  1.1885	2.2202e+12
 56.5585	 45.6583	 25.6821	5.3916e+12
  8.2848	 11.4159	  7.6156	3.4309e+12
 14.1792	 16.0857	 21.1314	5.7458e+12
 27.5778	 60.1593	 60.8214	5.4422e+12
 51.6065	  2.1663	 17.1831	5.3697e+12
 46.5781	 42.5646	 22.9049	5.4736e+12
 61.1490	 45.1007	 25.7000	4.4054e+12
 55.3242	 38.1454	 13.4775	5.4748e+12
 43.6475	 55.6942	 21.7230	1.9942e+12
 21.4088	 34.2390	 51.3715	4.7527e+12
 35.9727	 56.5649	  5.1251	5.2915e+12
 48.1542	 45.2279	 38.5093	5.2610e+12
 27.7450	 48.0594	  6.2953	5.3005e+12
 46.8043	 59.0609	 13.7818	2.9531e+12
 62.3853	 55.0975	 12.1310	3.0674e+12
 60.2635	 19.3825	 47.3176	5.5590e+12
 47.0322	 56.4317	 21.3724	5.0712e+12
 38.3698	 51.0606	 11.0771	3.2126e+12
 47.7532	 39.0138	  3.9855	5.3623e+12
 51.3127	 41.8611	 11.5378	5.1484e+12
 32.7504	 28.4064	 32.3082	5.3694e+12
 48.5268	 13.7074	  4.8304	4.5527e+12
 36.8589	 17.0678	 41.2944	4.7149e+12
 28.7417	 49.6686	 10.4280	5.3029e+12
  3.0807	 47.9344	 44.4877	5.0578e+12
 40.4103	 59.2205	 29.0859	5.1454e+12
 36.2890	 44.3717	 61.4385	4.9576e+12
 10.4690	 48.2549	  1.9980	3.4914e+12
 45.5663	 45.1792	 43.1687	4.4698e+12
 49.1898	  9.2104	 57.6253	4.5839e+12
 10.8024	 17.2409	 26.2894	3.1237e+12
 30.1491	 37.3806	 16.3002	4.5548e+12
 51.0505	 16.4491	 35.1815	5.2226e+12
 36.2798	 22.3805	 36.0003	4.3976e+12
  3.8759	 11.3058	 33.9528	5.0328e+12
 40.5104	 47.6172	 57.5989	3.0206e+12
 28.7964	 34.3562	 49.7426	4.5034e+12
 52.7134	 46.1988	 41.2028	5.1074e+12
 12.3459	 52.2843	  1.6521	5.0637e+12
 61.0267	 55.3958	 16.5872	4.8037e+12
 47.5326	 27.8867	 43.0134	4.5315e+12
 23.1014	 59.3849	 58.1296	4.9505e+12
 49.9729	 45.7322	  1.4014	1.5770e+12
 40.2072	 11.3969	  6.6390	4.7787e+12
  8.1167	 54.4364	  6.3973	4.7990e+12
 30.7438	 36.4413	 51.6353	4.0887e+12
 11.9223	 56.4742	 54.2020	4.6842e+12
  7.9132	 33.1327	 28.2166	4.6495e+12
 53.6972	 26.9383	 40.8230	5.0100e+12
  8.4020	 11.4321	 34.5066	4.0198e+12
 32.1906	 19.3828	 34.8070	3.8472e+12
 15.5696	  9.7931	 59.8916	4.6706e+12
 52.3634	 31.5758	 51.6609	3.9188e+12
 35.7424	 16.9118	 61.3653	4.7281e+12
 37.7465	 37.3350	 27.5560	4.5083e+12
 38.4206	 57.2000	  2.8576	3.3499e+12
 23.7080	  1.4440	 42.8409	3.6673e+12
 18.7221	 11.8283	 62.6253	4.3731e+12
 40.0598	 25.8869	 31.6097	2.3739e+12
 35.2722	 15.6916	 41.7643	3.4529e+12
 43.4060	  5.7388	  3.5268	2.5231e+12
 26.4105	 33.5702	 22.2410	2.0230e+12
 38.9380	 18.5130	 61.4249	4.4757e+12
 18.6051	 38.4676	 14.1391	4.3043e+12
 39.5420	 33.8429	  7.7747	4.3417e+12
 47.8263	 38.9772	 21.8188	4.1152e+12
 14.2423	 36.0667	  9.5793	3.5646e+12
 14.8064	 24.8914	 23.1685	4.2628e+12
  2.5086	 22.9768	 46.7009	3.9828e+12
 45.0080	 11.7122	  1.9191	3.3061e+12
 50.5611	 26.2864	 41.8996	4.1889e+12
 46.0925	 46.2480	 21.0053	3.7226e+12
 49.2760	  7.1485	 54.8652	3.9338e+12
 61.6167	 10.0261	 28.1353	4.2252e+12
 51.4651	 39.8745	 14.2268	4.5170e+12
 40.2350	 44.6409	 57.0540	3.7105e+12
 13.2490	 34.4893	 16.3747	3.6834e+12
 26.8632	 29.3805	  4.1399	2.5025e+12
 39.4967	 60.0210	  4.2257	3.9308e+12
 27.7670	 31.6509	 29.0122	4.4649e+12
 62.7287	 54.8056	 10.4039	3.0484e+12
 38.0487	 29.2317	 34.4937	3.6675e+12
 58.3170	 15.1169	  1.4280	3.0553e+12
 22.3101	 32.9517	 18.5896	3.1148e+12
 62.9540	 11.9516	 31.3810	3.5280e+12
  6.4399	 33.7600	 31.5361	3.8626e+12
  7.7455	 15.4898	 29.4347	3.0508e+12
 40.4944	 17.5257	 33.7659	4.0940e+12
 38.4802	 59.1936	  3.1841	3.5842e+12
 48.8913	 13.1282	 35.5566	3.9318e+12
 27.5368	 11.8205	 62.2206	3.7617e+12
 10.8281	 31.7812	 25.1971	1.7619e+12
  1.0975	  0.6318	  5.4134	3.8231e+12
 33.8097	 45.5983	 10.6422	3.4824e+12
 12.2786	 10.3483	  2.8405	3.3049e+12
 18.8394	 39.0906	 56.2197	3.9004e+12
 49.7936	 16.6508	 26.1492	3.9024e+12
  1.8556	 34.5420	 18.6319	3.5813e+12
 28.2570	 41.7188	 11.9889	3.6534e+12
 29.1931	  9.7009	  0.0739	2.0636e+12
 46.6831	 44.8205	 24.0173	3.9095e+12
 41.2451	 41.6956	 19.3701	3.8470e+12
 30.4767	 35.9202	 23.4669	3.5795e+12
 28.8051	 29.1783	 44.8359	3.5030e+12
 59.8290	 23.2360	 63.5900	3.6250e+12
 57.3037	 15.7824	  2.4542	3.8779e+12
 37.8977	  6.6581	 45.9509	3.0256e+12
  2.3031	 49.7043	 46.0454	2.7703e+12
 11.3143	  8.5571	  2.6525	3.7200e+12
 11.5291	 25.0181	 21.0891	3.6526e+12
 62.5466	  1.5866	 11.6503	1.6991e+12
 58.1286	 17.0519	 36.8447	3.5179e+12
 19.9280	 55.2739	 58.4129	3.1415e+12
 51.6356	 12.0490	  5.6727	3.6474e+12
 54.8733	  8.6093	  8.7394	3.4217e+12
 60.8384	 18.5543	 47.3287	3.2276e+12
 21.4147	 42.4551	 52.5740	3.4763e+12
 41.0953	 49.9365	  0.8829	3.0754e+12
 60.9043	 16.8539	  6.7211	3.0931e+12
 45.0857	 16.9323	 24.3352	2.9717e+12
  8.2908	 36.6574	 14.0445	1.9526e+12
  6.7351	  4.1568	 63.6336	3.3528e+12
  9.5521	 21.8640	 59.7073	3.1962e+12
 33.3030	 54.2134	 22.3467	3.4161e+12
 52.0581	 27.8423	 53.3187	3.4387e+12
 36.6654	 20.7739	 38.3848	2.9812e+12
 62.3575	 41.6221	 40.3097	3.0784e+12
 13.3533	 10.4200	  0.9009	2.8444e+12
 49.5867	 49.1997	 18.6794	2.1413e+12
 28.3389	  6.3486	 60.0068	3.4401e+12
 21.2118	 36.2791	 52.4976	3.7468e+12
 43.5377	 11.8072	  2.1168	1.3576e+12
 38.8744	 58.5645	 54.9999	2.6785e+12
  6.6564	 34.0369	 33.7571	2.0945e+12
 50.6063	 49.0727	 27.0056	3.2003e+12
 58.5838	 34.5653	 63.0492	1.9349e+12
 51.5524	 19.6909	 38.6420	3.2815e+12
 42.8235	 62.4507	  6.3798	3.3332e+12
 21.6311	  6.4455	 61.6014	3.0843e+12
 39.5954	 18.0863	 39.8186	3.2227e+12
 59.4982	 17.5977	 37.0161	2.9330e+12
 35.7608	 49.6476	 63.7808	3.0371e+12
 41.7502	 48.4600	  5.3544	1.8252e+12
 29.1430	 35.1920	 51.8809	3.1283e+12
  3.0997	 32.6012	 37.5392	2.2822e+12
 35.8592	 37.0291	 26.1611	3.1616e+12
 40.0133	  5.1142	 43.3730	3.3835e+12
 29.2580	 42.6038	 11.2108	1.4358e+12
 62.7489	  8.9638	 16.1449	3.0935e+12
  1.0066	 22.7161	 59.8876	3.3179e+12
 47.5825	 41.5852	 63.9006	3.2374e+12
 21.8904	 33.9512	 54.1844	2.7850e+12
 16.1373	 27.7574	 39.9496	3.2775e+12
 35.0155	 47.1787	 53.9501	2.8602e+12
 46.7747	 38.0101	 21.2757	2.7975e+12
 41.0127	 44.2965	 16.3668	2.9896e+12
 38.2556	 18.3317	 41.0431	2.9068e+12
 46.3231	 51.3041	  5.8874	3.1455e+12
 32.2522	 28.5820	 45.3744	2.2941e+12
 25.9494	 39.2566	 45.8349	2.2456e+12
 35.9100	 27.2384	 34.5231	2.9375e+12
 55.9739	 19.0846	  9.7458	2.6714e+12
 35.2295	 43.2277	 52.7570	3.1618e+12
 52.7555	 23.4796	 57.8994	3.0517e+12
 41.4766	 20.3860	 42.2202	2.6104e+12
 44.1367	 16.7049	 25.6621	1.8997e+12
 40.6997	 38.3582	 11.7921	2.6338e+12
 51.1811	  0.0524	 15.2275	1.3933e+12
 44.4593	 25.4075	 47.2340	2.9460e+12
 34.0065	 24.8221	 36.5062	2.6709e+12
 49.2426	 43.2364	 42.9799	2.3796e+12
 45.5889	  2.9867	 44.6388	2.2976e+12
 59.0714	 59.3248	 16.0385	2.0108e+12
 20.7934	 18.5942	 50.6585	3.0409e+12
 42.6488	  8.4708	 40.1133	3.0333e+12
 29.4708	 29.4412	 59.4853	2.6636e+12
  1.0518	  2.8667	  6.1241	2.1697e+12
 37.6722	 59.4932	 55.5905	2.8126e+12
 44.8938	 26.3046	 52.8880	2.2497e+12
 22.7153	 61.4869	 48.1241	2.7786e+12
 14.1873	 20.2809	 23.6268	2.7778e+12
 19.2346	 25.4478	 56.8201	2.3012e+12
 50.7698	  3.5872	  9.0803	2.5935e+12
 48.8367	 11.8532	  4.4535	2.6987e+12
 31.6942	 40.9858	 13.6606	2.8938e+12
 22.2207	 59.3433	 51.5474	2.8903e+12
 42.2122	  0.3385	  5.5953	2.9786e+12
  8.9597	 56.6643	 53.1122	2.6248e+12
 59.5434	 50.1142	 19.6158	2.7639e+12
 53.7234	 34.2052	 53.3797	2.4365e+12
 15.4627	  8.5164	 37.7745	1.4316e+12
 12.6395	  5.2443	  1.5255	2.7526e+12
 44.4498	  9.6401	 45.0205	2.6418e+12
 52.0491	 24.7439	 42.2046	1.4132e+12
 60.7939	 53.1284	 17.7414	2.9344e+12
 54.9689	 54.7221	 21.6034	2.4992e+12
 30.8539	 57.1275	  1.1230	2.3130e+12
 18.3073	 34.5997	 13.2235	2.2622e+12
 28.5598	 50.8446	 10.5146	2.8291e+12
 28.2133	 60.2072	 60.9702	2.4695e+12
 62.3797	 16.3088	  6.7676	2.8954e+12
 43.5762	 30.7987	 46.4358	2.4345e+12
 22.4177	 49.1867	 50.2016	2.2320e+12
 14.2441	 20.7609	 25.7738	2.6849e+12
 20.4803	 21.5309	 57.4070	2.1049e+12
 14.7879	 56.5389	 55.5672	2.6693e+12
 29.3101	  4.6308	 58.2323	2.7998e+12
 55.8302	  3.9525	 19.0589	2.3120e+12
  3.9755	 54.8001	 50.0823	2.8438e+12
 35.8570	 48.7733	 53.9013	2.4173e+12
 44.5522	 40.6106	 10.9270	1.5357e+12
 21.3656	 24.0085	 34.3048	2.6638e+12
 54.3946	 14.6383	 36.5975	1.2016e+12
 45.7802	 24.0425	 20.8559	2.1205e+12
 43.8424	 29.4064	 45.7888	2.4863e+12
 40.3644	 20.6317	 33.5877	2.1741e+12
 52.1649	 28.0137	 45.8185	1.0536e+12
 18.0428	  9.7814	 62.8591	2.1680e+12
  7.7289	 10.2821	 18.8918	2.4173e+12
 18.5915	 61.2869	 38.8788	2.2992e+12
 39.1958	 26.8282	 45.0325	2.5377e+12
 41.8552	 44.5988	 48.8851	2.5254e+12
 41.4748	 38.8797	 29.6103	2.4581e+12
 21.4043	 31.4262	 57.4078	1.4700e+12
 50.5501	 11.3905	  7.8203	2.2948e+12
 13.6150	 51.6776	  3.7819	2.2374e+12
 36.5271	 45.1333	 62.6976	1.3168e+12
 54.4299	 47.4456	 41.7398	1.8814e+12
 45.6638	 46.2884	  4.2553	2.6411e+12
 36.5069	 28.8300	 48.8933	2.4834e+12
 16.4308	 27.9628	 60.9552	2.6364e+12
  1.0412	 45.5109	 22.2178	2.6076e+12
 46.3580	 11.8375	 21.9614	1.9470e+12
 31.9747	 12.0512	 54.6877	2.3994e+12
 40.7141	  4.1069	 42.1950	2.4794e+12
 28.4508	  5.1588	 56.7577	1.6506e+12
 53.7369	 48.9419	 20.2324	2.0813e+12
 46.9789	  1.3208	  9.5717	2.3387e+12
 10.6392	  2.9496	 19.0538	1.9004e+12
 29.5593	 20.4319	 36.3891	2.4218e+12
 59.4979	 31.9781	  7.4884	2.4343e+12
 11.4378	 31.3152	 40.2205	2.1564e+12
  4.1978	 45.9992	 22.3898	2.2770e+12
 39.7222	 48.9508	 60.9325	2.0396e+12
 41.4481	 28.5453	 37.1630	2.3583e+12
 19.0738	 62.5923	 38.4112	1.3050e+12
