# x [Mpc/h]	y [Mpc/h]	z [Mpc/h]	Mh [Msun]
 32.0524	 24.6274	 33.7746	2.0937e+13
 20.1317	 58.3813	 56.2832	7.9169e+12
 39.6748	 56.0500	 13.5926	1.0367e+13
 58.1019	  0.2002	 14.0078	8.5844e+12
 22.0125	 26.6756	 43.1043	5.5853e+12
 15.0815	 47.4642	 60.4172	8.0592e+12
 28.4736	 26.1434	 37.6996	7.8552e+12
 24.4639	 26.4876	 40.7692	5.8452e+12
 45.7189	 32.3766	 20.2285	4.5739e+12
 24.6755	 61.3931	 58.4207	5.0604e+12
 32.8534	 56.8398	  5.4262	2.9805e+12
 24.4684	 26.1120	 38.9447	3.7620e+12
 36.9329	 43.7652	 15.5702	4.8120e+12
 53.6534	 18.2019	  5.3200	3.2394e+12
 16.9997	 49.9440	 63.4031	5.5170e+12
 14.3809	 29.7553	 38.2024	3.3773e+12
 29.9483	  0.2812	 57.6273	2.4183e+12
  5.3853	 42.6231	 22.2433	3.4395e+12
 40.8195	 41.2435	 23.0584	3.4081e+12
 40.0045	 41.7428	 20.3537	4.6304e+12
 33.6085	 22.2645	 32.3298	1.7352e+12
 42.7204	 41.4473	 21.4379	2.8262e+12
 41.3099	 19.8200	 41.0811	1.9352e+12
 18.0571	 50.5954	 62.4155	2.0957e+12
 45.0364	 45.4168	 23.3592	3.3462e+12
 29.5679	  1.2199	 57.1780	3.6498e+12
 19.6206	 28.3658	 42.5567	3.4295e+12
 53.8489	 42.0505	 11.4547	3.4583e+12
  1.0981	 58.7608	  8.6804	3.5155e+12
 51.0302	 20.0125	 53.4196	2.3757e+12
 46.3391	 37.8627	 20.8631	2.9091e+12
 45.4128	 30.9356	 37.5753	1.9826e+12
 23.2322	 31.7433	 30.6037	3.3218e+12
 27.1121	 50.5005	  3.8103	2.9883e+12
 23.9722	 36.0975	 16.6901	1.8438e+12
 43.2430	 24.2502	 44.1173	2.7516e+12
 16.2819	 49.1421	 63.1205	2.3547e+12
 27.7081	 39.5686	 12.6026	2.1564e+12
 30.2150	 25.0987	 34.6644	2.2629e+12
  7.0781	  5.8354	 63.3895	2.6647e+12
  0.1845	 44.7840	 13.4296	2.3094e+12
 26.3001	  5.2481	 61.0944	2.4711e+12
 12.1140	 37.5585	 43.3947	2.4284e+12
 14.9519	 52.4004	  6.5735	2.7689e+12
 15.0793	 26.4258	 28.8844	2.8406e+12
 48.0754	 33.2412	 19.9347	1.8516e+12
 32.1716	 21.2629	 36.9412	2.4105e+12
 50.4637	 12.0833	  9.1084	2.5911e+12
 61.9395	 14.0431	 61.4765	1.3770e+12
  4.0204	  7.1203	  6.7065	2.4065e+12
 11.7725	 17.1941	 25.3835	2.5771e+12
 23.6241	 24.7904	 38.3459	2.3587e+12
 19.9429	 53.1984	 61.1173	2.1843e+12
 20.7179	 27.1842	 41.8693	1.8138e+12
 25.4439	 62.3305	 54.0024	2.4131e+12
  2.9084	 28.2711	 63.7023	1.8535e+12
 43.1947	 25.5218	 33.2426	2.4593e+12
 51.1111	 33.3020	 15.8370	2.2650e+12
 55.0819	 37.7007	 49.5233	2.4490e+12
 30.5038	 26.1860	 37.4065	2.4657e+12
 37.6149	 24.3738	 38.0494	1.5040e+12
 17.6922	 21.3371	 34.6403	1.2386e+12
 13.9251	 22.8508	 23.8995	1.3694e+12
 21.2336	 58.3978	 57.4872	2.1562e+12
 40.1369	 24.9938	 34.9531	1.2795e+12
 45.6386	 27.2767	 23.4272	1.9298e+12
 31.3701	  7.7495	 54.9805	1.4969e+12
 13.2759	 22.4445	 25.1508	2.2842e+12
 13.1023	 21.9828	 26.9331	1.4127e+12
 18.5540	 22.7571	 16.6466	1.5329e+12
 31.2375	  2.6444	 57.8696	1.9862e+12
 14.7130	 12.9565	  0.4918	2.2908e+12
 30.8640	 25.5179	 35.4628	1.1598e+12
 44.0981	 24.7419	 22.1026	1.9791e+12
 33.3163	 56.1653	  6.4567	2.2077e+12
 27.8468	 25.2737	 35.2103	2.3096e+12
 31.4625	 57.1456	  4.1131	1.7902e+12
 60.5198	 53.5815	 29.6895	2.2636e+12
 47.4770	 46.5037	 37.3385	2.2036e+12
  1.0325	 27.6561	  0.3332	1.2563e+12
 13.2564	 15.8102	 24.0125	1.9005e+12
 50.7548	 13.3447	  4.1325	1.9033e+12
 20.7239	 56.2352	 50.1904	2.0360e+12
  5.4678	 55.4828	 49.3641	1.8506e+12
 18.3509	 34.7634	 12.8588	1.3076e+12
 19.0530	 43.4832	 54.9155	1.8912e+12
 38.9742	 16.2063	 40.6040	2.0828e+12
 12.1296	 20.9104	 27.1947	1.6268e+12
 50.1091	 23.0388	 54.6568	2.0617e+12
 11.8264	 44.0995	  0.3661	1.8081e+12
 50.3338	 18.5196	 57.0552	1.8206e+12
 54.0195	 20.4335	  7.1389	1.3518e+12
 15.3320	 48.5324	 61.5036	7.3794e+11
 49.1422	 22.0631	 54.7390	9.6206e+11
 44.6527	  1.8226	  1.0976	1.7137e+12
  0.5853	 62.7078	  2.5190	1.1360e+12
 14.7750	 25.6811	 28.4291	1.6903e+12
 26.9597	  6.7120	 55.4833	7.1920e+11
 51.4608	  7.0363	 17.6761	9.0603e+11
 59.2153	 26.5157	 58.9990	1.7029e+12
 12.1842	 20.1162	 26.7731	9.4506e+11
 44.7608	  4.5978	  3.5301	1.0847e+12
 42.4466	 13.2852	  1.7732	1.6533e+12
  2.5682	 60.1715	  4.0173	1.8098e+12
 44.9892	 13.9355	  2.8257	1.4049e+12
 34.2988	 36.9098	 14.2996	1.7196e+12
 35.5123	 40.4541	 51.8810	1.6476e+12
 41.3887	 53.0003	 12.0688	1.4523e+12
 26.8117	 51.3921	  3.1982	1.3593e+12
 32.4596	  6.4170	 59.9480	1.3976e+12
 49.3642	 14.5774	  6.2441	1.3851e+12
 54.0401	 24.0811	 56.5563	8.2415e+11
 32.0635	  5.0777	 57.5438	1.0382e+12
 43.4287	 35.4818	 36.7117	1.4374e+12
 44.0321	 17.1807	 31.5821	1.0505e+12
 26.8001	 26.2555	 38.0230	1.3218e+12
 40.2448	 47.7452	 23.6327	1.3074e+12
  1.9268	 60.5830	  4.0096	8.0264e+11
 61.0970	 23.2010	 12.2809	8.6370e+11
  0.5439	 59.9903	 11.0429	1.5917e+12
 16.2860	 49.7347	 62.4998	1.4131e+12
 28.4144	 41.7913	 11.7497	1.2516e+12
 16.0717	 45.7766	 56.9514	9.5200e+11
 12.0875	 38.3511	 44.1720	1.3997e+12
 24.2245	 59.2266	 59.0015	7.9379e+11
 53.2773	 14.3598	 39.6443	1.2755e+12
 47.1844	  8.5540	 13.3100	1.4521e+12
 62.7468	 48.2025	  6.8952	1.2292e+12
 38.9026	 13.1222	  2.5029	9.0880e+11
 46.5832	 51.5014	 43.8715	1.3688e+12
 50.8772	 23.8318	 56.1529	1.3022e+12
 14.5482	  8.6337	 57.3362	1.1801e+12
 16.8395	 25.8728	 16.5566	1.2837e+12
 17.4050	 54.5976	 52.9480	1.5310e+12
 42.2184	 40.2935	 25.0073	1.4799e+12
 51.7958	 62.0771	 15.6634	1.1118e+12
 50.6222	 26.4095	 59.5404	6.0922e+11
 47.0373	 55.6834	 26.8317	1.4549e+12
  4.2629	  8.4610	  4.8438	1.0748e+12
 22.2235	 40.6647	 45.3713	1.4726e+12
 36.9064	 11.8050	  9.5493	1.3709e+12
 50.5706	 55.4412	 30.9193	1.3128e+12
 45.3957	  5.9579	 12.4593	4.8224e+11
  6.5410	 57.4208	 48.6501	1.4616e+12
 44.9330	 18.0144	 28.5913	1.3019e+12
 15.7121	 49.2784	 62.0965	1.0552e+12
 27.1820	  8.9239	 62.7491	1.2675e+12
 13.8303	 22.4559	 28.0553	9.7403e+11
 31.6227	 55.4562	  4.9566	6.1599e+11
 51.6774	 22.0170	 54.7663	1.3590e+12
 22.9020	 24.5294	 41.8006	1.1688e+12
 25.7996	 25.9543	 37.8078	1.0632e+12
 38.0720	 17.5899	 40.5835	1.1159e+12
  0.9045	 49.4577	  5.6072	1.2174e+12
 62.1529	 19.7485	 46.8605	1.1758e+12
 41.4733	 55.7983	 21.2664	1.3017e+12
 26.4100	 24.7753	 34.5117	9.5685e+11
 37.2755	 45.4613	 14.4551	8.3369e+11
 38.9362	 39.9771	 22.0938	8.5728e+11
 23.4016	 16.3372	 42.9106	1.2087e+12
 50.0456	 55.5221	 28.9161	9.6622e+11
  3.1968	  7.5076	 12.2725	1.3654e+12
 22.7866	 26.1361	 40.1155	7.7263e+11
 63.1231	 27.4543	 62.9602	1.1416e+12
 49.3855	 39.1675	 16.2162	9.6553e+11
 19.0871	 28.1181	 40.8782	1.2660e+12
 21.2501	 25.7278	 47.3733	4.8224e+11
  0.9398	 62.1127	  2.9669	1.1301e+12
 15.2837	 44.4901	 62.5499	1.2318e+12
 57.8225	 26.9750	 39.7651	1.2106e+12
 40.8731	 42.7741	 18.6866	1.3208e+12
 31.6871	  4.2789	 58.5586	8.9180e+11
 53.6153	  4.6917	 17.3587	1.2830e+12
 33.2429	 20.0465	 34.4785	1.3060e+12
 52.9200	 16.4424	 10.6562	9.4853e+11
  2.1238	 58.8314	  6.4510	1.2793e+12
 35.5970	 11.0642	 27.3555	1.2734e+12
 63.2874	 36.4059	 34.4284	1.1877e+12
 54.1116	  4.8219	 16.8811	1.1872e+12
 54.1373	 18.5847	  1.9558	1.1940e+12
 13.3893	 22.9342	 25.9712	1.2073e+12
 32.0740	  3.8336	 58.1065	1.2566e+12
 13.0907	 12.1353	  5.9543	1.2148e+12
 17.8897	 26.4385	 30.2711	1.0923e+12
  1.2727	 46.9440	  2.6263	3.8597e+11
 44.6878	 48.2269	  8.1869	5.9101e+11
 57.6626	  3.4477	 20.9651	7.5736e+11
 17.1453	 24.6943	 36.1201	1.2018e+12
 38.2722	 11.8602	  4.0669	1.0556e+12
 42.9193	 24.9402	 22.8240	8.1270e+11
 44.0000	  5.6766	 39.9654	1.0332e+12
 26.2142	 37.8829	 14.3552	9.4801e+11
 18.1300	 38.3332	 57.9301	9.6813e+11
 38.3217	 11.2942	  1.8958	1.1289e+12
 47.9879	  1.1040	  6.7232	1.1567e+12
 47.9354	 46.4882	 36.8176	1.0797e+12
 35.9198	 43.2667	 52.6663	1.1256e+12
 36.2584	 16.3535	 31.4055	1.0344e+12
  8.6174	 53.2672	  0.0556	1.1314e+12
 15.3912	  2.3226	  4.5730	9.7090e+11
 20.2407	 24.2196	 33.1561	1.0181e+12
 37.4012	 59.9100	 30.1710	9.1435e+11
 54.3512	 15.4435	 12.4916	1.0399e+12
 10.6124	 41.9661	 18.1712	2.5170e+11
 54.5993	 29.7397	 55.0429	6.0870e+11
 47.5404	 25.4644	 52.4613	4.3315e+11
 39.7331	 14.4321	 46.1279	9.8686e+11
  5.7291	  6.4568	  9.4283	6.1720e+11
 55.1313	 63.6030	 15.6274	8.9371e+11
 42.1759	 51.7092	 23.8365	1.1284e+12
 31.2827	 38.6226	 10.6775	7.8755e+11
 45.8431	  0.9485	  9.9661	7.1087e+11
 37.3497	 42.2152	 36.8200	7.9830e+11
 36.6222	 10.0979	 61.4705	7.3880e+11
 32.7257	  8.9509	 44.3166	9.0204e+11
  3.5513	 28.5796	 24.1995	9.8860e+11
 29.1853	  1.5002	 55.7074	1.1385e+12
 46.6473	 26.2957	 53.4994	8.2606e+11
 13.4035	 30.7291	 18.7715	9.2771e+11
 60.6668	 53.0775	 43.8189	9.9051e+11
 52.5592	 21.9313	  7.7678	1.0575e+12
 22.6969	 59.2076	 49.9129	8.5815e+11
 16.7866	 44.8841	 56.7493	9.8339e+11
 15.1755	 28.3772	 41.9142	7.2284e+11
 22.2275	 23.5782	 41.4850	9.5807e+11
 26.0788	 26.2853	 38.6954	7.3395e+11
 49.2442	 45.4861	 37.3919	8.5069e+11
  4.2911	 48.8169	 42.6378	8.9510e+11
 29.3801	 10.8384	 11.4060	6.8902e+11
 34.8638	 61.4321	 42.0212	4.4599e+11
  6.4284	 55.0876	 49.8269	4.3870e+11
 63.6221	 63.7330	  1.4101	8.9822e+11
 19.5894	 23.3677	 22.1630	9.7663e+11
 32.7214	  7.1517	 54.1069	9.1522e+11
  2.5045	 59.9146	  5.1865	1.0601e+12
 18.1540	 25.4985	 30.2296	5.6551e+11
 43.8417	 40.8668	 17.3599	1.0044e+12
